Flag,"Vessel Name","Destination Port","Reported Eta","Reported Destination","Current Port","Vessel Type - Generic","Time Of Latest Position",Latitude,Longitude
Bahamas,BOLETTE,TARRAGONA,-,"ES TAR",,Passenger,"2023-11-03 03:09:40",36.16467,-3.9341
Bahamas,AMADEA,TRIESTE,"2023-11-03 05:00:00",ITTRS,,Passenger,"2023-11-03 03:09:51",45.5136,13.38963
Malta,"CELEBRITY INFINITY",CADIZ,"2023-11-03 05:00:00","CADIZ SPAIN",,Passenger,"2023-11-03 03:09:37",36.50131,-6.595043
Malta,"MSC MERAVIGLIA","NEW YORK",-,USNYC,MIAMI,Passenger,"2023-11-03 03:08:59",25.7765,-80.16855
Bahamas,"CARNIVAL SUNSHINE","HALF MOON CAY",-,USCHS>BSHMC,,Passenger,"2023-11-03 02:31:24",32.21345,-79.12467
Palau,"ASTORIA GRANDE",TRABZON,"2023-11-03 06:20:00","TR TZX",,Passenger,"2023-11-02 23:00:58",41.43679,37.62288
Panama,"MSC MUSICA",LIMASSOL,"2023-11-03 04:48:00",CYLMS,,Passenger,"2023-11-03 03:09:09",34.49928,32.90931
USA,"WILFRED SYKES","PORT DOLOMITE","2023-11-04 04:00:00","PORT DOLOMITE",,Cargo,"2023-11-03 03:10:08",41.71187,-87.12909
Bahamas,"NORWEGIAN GEM",ALEXANDRIA,-,ALEXANDRIA,,Passenger,"2023-11-03 03:09:56",36.40662,26.92195
Russia,MIR,LIEPAJA,"2023-07-11 03:00:00","BALTIC SEA","ST PETERSBURG","Sailing Vessel","2023-11-03 03:05:53",59.88897,30.20969
Bahamas,"GRANDEUR OF THE SEAS",TAMPA,"2023-11-03 07:00:00",TAMPA,,Passenger,"2023-11-02 00:26:54",20.62008,-86.9122
Italy,"COSTA FAVOLOSA",CADIZ,"2023-11-03 05:48:00",ESCAD,,Passenger,"2023-11-03 03:09:16",36.11477,-6.428113
USA,"EDGAR B.SPEER","TWO HARBORS","2023-11-02 19:00:00","TWO HARBORS, MN","TWO HARBORS",Cargo,"2023-11-03 01:29:56",47.01457,-91.67174
"United Kingdom","PACIFIC ADVENTURE",SYDNEY,"2023-10-31 20:15:00",SYDNEY,,Passenger,"2023-11-01 15:17:00",-23.93022,164.3327
Bahamas,"CONDOR LIBERATION",FALMOUTH,"2023-10-31 23:50:00",FALMOUTH,FALMOUTH,"High Speed Craft","2023-11-03 03:07:01",50.15642,-5.057862
Russia,"MARSHAL ROKOSSOVSKY",KALININGRAD,"2023-11-03 04:00:00","RU-ULU >< RU-KGD",,Cargo,"2023-11-03 00:11:47",54.73661,19.62367
Bermuda,"CORAL PRINCESS",DARWIN,"2023-11-02 19:30:00",AUDRW,DARWIN,Passenger,"2023-11-03 03:10:07",-12.47274,130.845
USA,"WALTER J.MCCARTHY JR.","GARY HARBOR",-,"GARY CH 74",,Cargo,"2023-11-03 03:08:35",47.25689,-90.22735
