Flag,"Vessel Name","Destination Port","Reported Eta","Reported Destination","Current Port",Imo,"Vessel Type - Generic","Time Of Latest Position",Latitude,Longitude
USA,"THOMAS DANN","LOST PENINSULA","2023-10-20 04:00:00","ERIE BASIN","NEW YORK",8003307,Tug,"2023-11-03 02:51:28",40.67107,-74.01715
USA,"ERNEST CAMPBELL","NEW YORK","1900-01-01 00:00:00",,"NEW YORK",7045982,Tug,"2023-09-12 16:09:32",40.66632,-74.06879
Malta,"PS GENOVA","NEW YORK","2023-11-01 11:00:00",DZSKI>USNYC,"NEW YORK",9439383,Tanker,"2023-11-03 02:51:09",40.62068,-74.05563
USA,"GEORGE HOLLAND","NEW YORK","2023-11-03 03:00:00","NEW YORK NY","NEW YORK",9544243,Tug,"2023-11-03 02:49:51",40.66533,-74.05583
USA,"SEASDREA HIGHLANDS",BELFORD,"1900-01-01 00:00:00",,BELFORD,9270270,Passenger,"2023-11-03 02:49:20",40.43354,-74.07883
USA,"MARY TURECAMO","NEW YORK",-,USNYC,"NEW YORK",8201258,Tug,"2023-11-03 02:49:39",40.64048,-74.12931
USA,"BRUCE A.MCALLISTER","NEW YORK",-,"NEW YORK HARBOR","NEW YORK",7391018,Tug,"2023-11-03 02:50:02",40.64077,-74.16335
USA,"STEPHANIE DANN",,"1900-01-01 00:00:00",US^0LBR,"NEW YORK",8968600,Tug,"2023-11-03 02:50:05",40.6653,-74.01598
Panama,"TBC PROGRESS","RIVERWALK LANDING","2023-11-02 12:00:00","US YKW",YONKERS,9489821,Cargo,"2023-11-03 02:51:33",40.92871,-73.90582
USA,"WILLIAM F FALLON JR",,"1900-01-01 00:00:00",US^0Y8T>0LGQ,"NEW YORK",9137325,Tug,"2023-11-03 02:50:47",40.66578,-74.04301
USA,BUCHANAN12,"STONE HARBOR","2023-11-03 03:00:00","WHITE STONE MOORINGS","PORT MORRIS",0,Tug,"2023-11-03 02:51:39",40.80229,-73.89164
USA,"JILL REINAUER","NEW YORK","2023-10-13 19:30:00","US NYC",SEWAREN,7042813,Tug,"2023-11-03 02:50:56",40.55733,-74.24089
USA,"JAMAICA II",,,"No data (CLASS B transponder)",,0,Fishing,"2023-11-02 20:39:06",40.10151,-74.02951
USA,"SHANNON DANN",,"1900-01-01 00:00:00","XX XXX",,7207748,Tug,"2023-11-03 02:51:58",40.48187,-74.00819
USA,"NEW JERSEY",,-,"CM-NJ / LW-DE","NEW YORK",8643078,Passenger,"2023-11-03 02:49:30",40.64285,-74.11629
USA,"MARILYN GEORGE",,"1900-01-01 00:00:00",US^0NGH>0Q7M,"NEW YORK",8987151,Tug,"2023-11-03 02:49:17",40.71638,-74.1231
USA,"NORMA K III","AMBROSE ANCH","1900-01-01 00:00:00",,,0,Passenger,"2023-10-29 04:56:59",40.09746,-74.00736
USA,"HMS LIBERTY",,"1900-01-01 00:00:00",US^0NJ5>0YFC,"NEW YORK",1179705,Tug,"2023-11-03 02:50:10",40.6915,-74.13535
Panama,KARAVAS,"NEW YORK","2023-10-26 08:00:00",USNYC,"AMBROSE ANCH",9420631,Tanker,"2023-11-03 02:49:48",40.498,-73.52991
USA,"MISTER T","NEW YORK","1900-01-01 00:00:00",,,8968222,Tug,"2023-11-03 02:51:36",40.99077,-73.38319
USA,"JAMES WILLIAM",,"2023-11-03 06:14:00","NY HARBOR",,8654364,Tug,"2023-11-03 02:52:02",40.56292,-73.94759
USA,"DOUGLAS J","NEW YORK",-,"NEW YORK CITY","NEW YORK",8991047,Tug,"2023-11-03 02:50:16",40.69948,-74.15141
Liberia,"STOLT ILEX","NEW YORK","2023-11-02 20:00:00","US NYC","NEW YORK",9505936,Tanker,"2023-11-03 02:49:27",40.69422,-74.14088
USA,JAMAICA,BRIELLE,"1900-01-01 00:00:00",,,0,Passenger,"2023-10-24 11:32:15",40.04777,-73.97715
USA,"ROBERT BURTON","NEW YORK","2023-11-03 08:51:00","NY HARBOR",,8644369,Tug,"2023-11-03 02:50:44",40.7714,-73.85281
"Marshall Is","MAPLE STAR","NEW YORK","2023-10-31 12:00:00","US NYC","NEW YORK",9662370,Cargo,"2023-11-03 02:50:06",40.68467,-74.1395
USA,"FRANKLIN REINAUER","NEW YORK","2023-10-31 00:01:00","NEW YORK","NEW YORK",8987462,Tug,"2023-11-03 02:50:39",40.66792,-74.01698
USA,ALEXANDRA,"PERTH AMBOY","1900-01-01 00:00:00",US^0XPB>0MBZ,"PERTH AMBOY",7512014,Tug,"2023-11-03 02:49:46",40.53759,-74.25343
USA,PATHFINDER,"FISHING BAY","2023-11-02 14:30:00","FLUSHING BAY MTS","NEW YORK",7235214,Tug,"2023-11-03 02:51:30",40.64874,-74.09264
USA,"BRIAN NICHOLAS",,-,USECNY,"NEW YORK",8851297,Tug,"2023-11-03 02:52:18",40.69981,-74.15221
USA,"ATLANTIC ENTERPRISE","NEW YORK",-,"NEWARK NJ","NEW YORK",7417240,Tug,"2023-11-03 02:50:44",40.69953,-74.15183
